Taxon	Mnemonic	Scientific name	Common name	Synonym	Other Names	Reviewed	Rank	Lineage	Parent	Virus hosts
105428		Xenopus amieti	volcano clawed frog			annotated	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus	262014	
288519		Xenopus andrei	Andre's clawed frog			annotated	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus	262014	
8354	XENBO	Xenopus borealis	Kenyan clawed frog		Marasbit clawed frog; Xenopus borealis Parker, 1936; Xenopus laevis borealis	reviewed	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus	262014	
288550		Xenopus boumbaensis	Mawa clawed frog			annotated	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus	262014	
434054		Xenopus cf. boumbaensis BJE-2007			Xenopus cf. boumbaensis AMNH 17279; Xenopus sp. BJE-2008a	annotated	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus	262014	
288535		Xenopus cf. fraseri 1 BJE-2004			Xenopus cf. fraseri 1 BJE-2007; Xenopus sp. BOLD:AAH7186	annotated	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus	262014	
288534		Xenopus cf. fraseri 2 BJE-2004			Xenopus cf. fraseri 2 BJE-2007; Xenopus sp. BJE-2008b	annotated	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus	262014	
8358	XENCL	Xenopus clivii	Clawed frog		Eritrea clawed frog	annotated	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus	262014	
191247		Xenopus fraseri	Fraser's clawed frog			annotated	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus	262014	
228608		Xenopus gilli	Cape clawed frog		Cape platanna; Gill's frog; Gill's platanna; Xenopus gilli Rose & Hewitt, 1927; Xenopus laevis gilli	annotated	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus	262014	
542840		Xenopus itombwensis	Itombwe Massif clawed frog		BJE00276; MCZ A-138192; MCZ A-138193; MCZ A-138194; MCZ A-138195; MCZ A-138196; MCZ A-138197; MCZ Herp A-138192; MCZ Herp A-138193; Xenopus itombwensis Evans et al., 2008; Xenopus n. sp. octoploid; Xenopus sp. BJE-2008; Xenopus sp. BJEXS001-08; Xenopus sp. new octoploid 1	annotated	Species	Eukaryota; Metazoa; Chordata; Craniata; Vertebrata; Euteleostomi; Amphibia; Batrachia; Anura; Pipoidea; Pipidae; Xenopodinae; Xenopus; Xenopus	262014	
